roi_id,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,FDOPA,GABAa-bz,M1,MU,NAT,NMDA,VAChT,mGluR5
81.0,28.469193,29.558075,24.292484,0.86212146,0.47915566,3.529243,11.144209,1.3644905,13.622501,0.6838033,26.943832,32.91578,390.30475,3.9176483,13.592846,4.7194667,7.0246353,11.877472,2.4533486
82.0,27.506332,21.01716,9.948385,0.3812695,0.5041727,2.349002,11.084392,1.4154778,13.961,0.76912904,26.22155,30.31338,426.11606,3.8347507,14.791607,2.55361,6.974112,11.341341,2.4672904
83.0,22.498245,7.075719,30.979475,1.1729484,0.49168223,1.7466336,11.853222,1.4724451,4.349,0.75539017,22.972809,22.017765,701.59424,4.3707576,11.349355,3.256571,3.9773874,9.560063,2.3137407
84.0,28.16401,21.517902,16.138512,0.65590847,0.5103608,1.5334985,11.672519,1.4757947,3.3890002,0.80996346,22.741192,22.635029,632.85767,4.4408817,15.39082,6.8088007,4.422287,9.74059,2.5206656
85.0,23.438215,5.302006,19.059814,0.7301929,0.45059955,1.6304574,11.3508415,1.456984,6.8580003,0.8333354,21.900053,20.254364,316.47943,4.2500534,9.8923235,3.2654147,3.4213686,9.236876,2.3801064
86.0,32.096317,23.590229,0.97999895,0.03448198,0.48559806,2.5742364,10.318343,1.373945,15.562,0.77782094,26.55069,34.159298,486.003,3.336548,16.672152,5.3896966,7.2962346,11.023482,2.411364
87.0,26.870022,21.854975,19.66449,0.7936275,0.32401365,1.9015471,10.741497,1.4101639,-0.003,0.72151786,20.380825,16.905855,691.02527,3.8921247,8.312675,5.5449333,2.820022,8.015954,2.1934872
89.0,35.563217,25.688728,0.0,0.0,0.41555423,3.6194952,10.171541,1.4152789,17.628,0.83901274,22.037195,21.897907,0.0,3.69829,17.530195,5.274397,5.6013823,10.36337,2.3727834
91.0,30.095829,11.426743,0.0,0.0,0.34964752,0.8758812,9.598595,1.3266108,15.527,0.7748201,25.845171,30.687935,0.0,3.3558924,15.278619,1.9718721,6.744959,10.412474,2.266368
94.0,35.073395,13.272549,8.633978,0.4611988,0.40962628,5.9770336,9.618256,1.3349866,16.7355,1.0906343,28.382298,31.59735,56.78266,3.456026,14.091664,2.7881598,6.8479204,10.236573,2.3481634
95.0,25.50737,20.636219,0.0,0.0,0.3841619,1.1520737,10.155027,1.1670158,14.118001,0.6281085,28.421917,32.661083,118.99313,3.4138,8.918553,3.8972108,7.708545,10.442211,2.1765606
96.0,26.081118,19.908403,0.0,0.0,0.33862734,1.1001922,10.365257,1.1603597,11.900001,0.49720582,27.056593,34.297134,146.18738,2.4444194,13.299736,7.3083797,7.104517,11.533924,2.2149298
97.0,28.588215,23.355503,0.0,0.0,0.46806127,1.2910888,10.949657,1.3056712,11.715,0.660843,24.868416,32.598156,257.45068,3.7648916,14.061302,5.5920506,6.6527567,10.700689,2.31388
98.0,20.371105,21.062408,11.26873,0.43094903,0.44522217,0.7148712,10.964401,1.3184354,-0.003,0.6734191,20.65968,20.275341,499.82867,3.8009777,12.816589,5.161194,4.901207,8.839354,2.213358
